smiles,pubchem,cirpy,exists_any,Has_CAS
CC[N+](CCO[Si](C)(C)C(C)C)(C(C)C)C(C)C,False,True,True,False
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@H]2OC(OCCO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)([C@H](C)C[C@H](C)/C=C/C=C/C=C/1C)[C@@H]2OC,False,True,True,False
CC(C)(C)[Si](C)(C)OS(=O)(=O)C(F)(F)F,False,True,True,False
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO[Si](C)(C)C(C)C)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,False,True,True,False
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C/C=C/C=C/C=C/1C,False,True,True,False
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,False,True,True,False
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,False,True,True,False
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO[Si](C)(C)C(C)(C)C)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,False,True,True,False
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C/C=C/C=C/C=C/1C,False,True,True,False
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,False,True,True,False
