smiles,pubchem,cirpy,exists_any,Has_CAS
CC(C)C(C)(C)[Si](C)(C)OCC[n+]1ccccc1,False,True,True,False
CC(C)(C)[Si](C)(C)OCC[n+]1ccccc1,False,True,True,False
c1ccncc1,False,True,True,False
CC(C)C(C)(C)[Si](C)(C)OCCOS(=O)(=O)C(F)(F)F,False,True,True,False
CC[N+](CCO[Si](C)(C)C(C)(C)C(C)C)(C(C)C)C(C)C,False,True,True,False
CC(C)(C)[Si](OCC[n+]1ccccc1)(c1ccccc1)c1ccccc1,False,True,True,False
CC(C)(C)[Si](C)(C)Cl,False,True,True,False
CI,True,True,True,False
CC(C)[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(N)=O,False,True,True,False
CC(=O)OC[C@H]1O[C@@H](NC(=O)C[C@H](NC(=O)OCc2ccccc2)C(=O)NC(=O)[C@@H](N)Cc2ccccc2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,False,True,True,False
CC(=O)OC[C@H]1O[C@@H](NC(=O)C[C@H](NC(=O)OCc2ccccc2)C(=O)NC(=O)CN)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,False,True,True,False
COC(=O)[C@H](Cc1cn([C@H]2O[C@@H](COC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)nn1)NC(=O)[C@H](Cc1cn([C@@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)nn1)NS(=O)(=O)c1ccc(C)cc1,False,True,True,False
C#CCC(NC(=O)[C@H](Cc1cn([C@@H]2O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)nn1)NC(=O)OC(C)(C)C)C(=O)OC,False,True,True,False
[N-]=[N+]=N[C@@H]1O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1,False,True,True,False
