DOI,center,controls,stereo_type,BNN_status,BNN_value,BNN_smiles,BNN_CIP,Reaxys_status,Reaxys_value,Reaxys_smiles,Reaxys_CIP,classification,summary
acs.oprd.2c00146,3,"(2, 4, 5)",Atom_Tetrahedral,Unspecified,NoValue,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,,Unspecified,NoValue,C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O,,Other,unspecified tetrahedral vs unspecified tetrahedral
acs.oprd.2c00146,7,"(5, 8, 9)",Atom_Tetrahedral,Specified,Tet_CCW,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,R,Specified,Tet_CCW,C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O,R,Other,R tetrahedral vs R tetrahedral
acs.oprd.2c00146,5,"(3, 6, 7)",Atom_Tetrahedral,Specified,Tet_CW,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,S,Specified,Tet_CCW,C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O,R,Reaxys R vs BNN S,S tetrahedral vs R tetrahedral
acs.oprd.2c00146,1,"(0, 2, 9)",Atom_Tetrahedral,Specified,Tet_CCW,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,S,Specified,Tet_CCW,C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O,S,Other,S tetrahedral vs S tetrahedral
acs.oprd.2c00146,9,"(1, 7, 10)",Atom_Tetrahedral,Specified,Tet_CCW,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,S,Specified,Tet_CCW,C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O,S,Other,S tetrahedral vs S tetrahedral
acs.oprd.7b00046,3,"(1, 4, 18)",Atom_Tetrahedral,Specified,Tet_CW,O=C(O)[C@H]1c2ccccc2C(=O)N(CC(F)(F)F)[C@@H]1c1cccnc1,S,Specified,Tet_CCW,O=C(O)[C@@H]1c2ccccc2C(=O)N(CC(F)(F)F)[C@H]1c1cccnc1,R,Reaxys R vs BNN S,S tetrahedral vs R tetrahedral
acs.oprd.7b00046,18,"(3, 12, 19)",Atom_Tetrahedral,Specified,Tet_CCW,O=C(O)[C@H]1c2ccccc2C(=O)N(CC(F)(F)F)[C@@H]1c1cccnc1,S,Specified,Tet_CW,O=C(O)[C@@H]1c2ccccc2C(=O)N(CC(F)(F)F)[C@H]1c1cccnc1,R,Reaxys R vs BNN S,S tetrahedral vs R tetrahedral
acs.oprd.7b00046,23,"(8, 17, 24)",Atom_Tetrahedral,Specified,Tet_CCW,N#Cc1cc(NC(=O)[C@H]2c3ccccc3C(=O)N(CC(F)(F)F)[C@@H]2c2cccnc2)ccc1F,S,Specified,Tet_CW,N#Cc1cc(NC(=O)[C@@H]2c3ccccc3C(=O)N(CC(F)(F)F)[C@H]2c2cccnc2)ccc1F,R,Reaxys R vs BNN S,S tetrahedral vs R tetrahedral
acs.oprd.7b00046,8,"(6, 9, 23)",Atom_Tetrahedral,Specified,Tet_CW,N#Cc1cc(NC(=O)[C@H]2c3ccccc3C(=O)N(CC(F)(F)F)[C@@H]2c2cccnc2)ccc1F,S,Specified,Tet_CCW,N#Cc1cc(NC(=O)[C@@H]2c3ccccc3C(=O)N(CC(F)(F)F)[C@H]2c2cccnc2)ccc1F,R,Reaxys R vs BNN S,S tetrahedral vs R tetrahedral
acs.oprd.7b00046,9,"(7, 10, 23)",Atom_Tetrahedral,Specified,Tet_CW,COc1ccc(NC(=O)[C@H]2c3ccccc3C(=O)N(CC(C)C)[C@@H]2c2cccs2)cc1Cl,S,Specified,Tet_CCW,COc1ccc(NC(=O)[C@@H]2c3ccccc3C(=O)N(CC(C)C)[C@H]2c2cccs2)cc1Cl,R,Reaxys R vs BNN S,S tetrahedral vs R tetrahedral
acs.oprd.7b00046,23,"(9, 18, 24)",Atom_Tetrahedral,Specified,Tet_CCW,COc1ccc(NC(=O)[C@H]2c3ccccc3C(=O)N(CC(C)C)[C@@H]2c2cccs2)cc1Cl,S,Specified,Tet_CW,COc1ccc(NC(=O)[C@@H]2c3ccccc3C(=O)N(CC(C)C)[C@H]2c2cccs2)cc1Cl,R,Reaxys R vs BNN S,S tetrahedral vs R tetrahedral
acs.oprd.7b00046,23,"(8, 17, 24)",Atom_Tetrahedral,Specified,Tet_CCW,N#Cc1cc(NC(=O)[C@H]2c3ccccc3C(=O)N(CC(F)(F)F)[C@@H]2c2cn[nH]c2)ccc1F,S,Specified,Tet_CW,N#Cc1cc(NC(=O)[C@@H]2c3ccccc3C(=O)N(CC(F)(F)F)[C@H]2c2cn[nH]c2)ccc1F,R,Reaxys R vs BNN S,S tetrahedral vs R tetrahedral
acs.oprd.7b00046,8,"(6, 9, 23)",Atom_Tetrahedral,Specified,Tet_CW,N#Cc1cc(NC(=O)[C@H]2c3ccccc3C(=O)N(CC(F)(F)F)[C@@H]2c2cn[nH]c2)ccc1F,S,Specified,Tet_CCW,N#Cc1cc(NC(=O)[C@@H]2c3ccccc3C(=O)N(CC(F)(F)F)[C@H]2c2cn[nH]c2)ccc1F,R,Reaxys R vs BNN S,S tetrahedral vs R tetrahedral
acs.oprd.7b00046,11,"(9, 12, 25)",Atom_Tetrahedral,Specified,Tet_CW,COc1cc(OC)c(NC(=O)[C@H]2c3ccccc3C(=O)N(CC(C)C)[C@@H]2c2cccs2)cc1Cl,S,Specified,Tet_CCW,COc1cc(OC)c(NC(=O)[C@@H]2c3ccccc3C(=O)N(CC(C)C)[C@H]2c2cccs2)cc1Cl,R,Reaxys R vs BNN S,S tetrahedral vs R tetrahedral
acs.oprd.7b00046,25,"(11, 20, 26)",Atom_Tetrahedral,Specified,Tet_CCW,COc1cc(OC)c(NC(=O)[C@H]2c3ccccc3C(=O)N(CC(C)C)[C@@H]2c2cccs2)cc1Cl,S,Specified,Tet_CW,COc1cc(OC)c(NC(=O)[C@@H]2c3ccccc3C(=O)N(CC(C)C)[C@H]2c2cccs2)cc1Cl,R,Reaxys R vs BNN S,S tetrahedral vs R tetrahedral
