DOI,Num_Stereo_Conflicts,Shared_Smiles
acs.oprd.1c00456,0,[]
op980087x,0,[]
op700249f,0,[]
acs.oprd.2c00146,1,"[{'C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O'}, {'C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O'}]"
acs.oprd.9b00192,0,[]
acs.oprd.9b00138,0,[]
acs.oprd.3c00189,0,[]
op000040n,0,[]
op000209x,0,[]
op0102159,0,[]
op0000733,0,[]
op9802125,0,[]
op8002213,0,[]
acs.oprd.7b00046,5,"[{'O=C(O)[C@H]1c2ccccc2C(=O)N(CC(F)(F)F)[C@@H]1c1cccnc1'}, {'N#Cc1cc(NC(=O)[C@H]2c3ccccc3C(=O)N(CC(F)(F)F)[C@@H]2c2cccnc2)ccc1F'}, {'COc1ccc(NC(=O)[C@H]2c3ccccc3C(=O)N(CC(C)C)[C@@H]2c2cccs2)cc1Cl'}, {'N#Cc1cc(NC(=O)[C@H]2c3ccccc3C(=O)N(CC(F)(F)F)[C@@H]2c2cn[nH]c2)ccc1F'}, {'COc1cc(OC)c(NC(=O)[C@H]2c3ccccc3C(=O)N(CC(C)C)[C@@H]2c2cccs2)cc1Cl'}, {'O=C(O)[C@@H]1c2ccccc2C(=O)N(CC(F)(F)F)[C@H]1c1cccnc1'}, {'N#Cc1cc(NC(=O)[C@@H]2c3ccccc3C(=O)N(CC(F)(F)F)[C@H]2c2cccnc2)ccc1F'}, {'COc1ccc(NC(=O)[C@@H]2c3ccccc3C(=O)N(CC(C)C)[C@H]2c2cccs2)cc1Cl'}, {'N#Cc1cc(NC(=O)[C@@H]2c3ccccc3C(=O)N(CC(F)(F)F)[C@H]2c2cn[nH]c2)ccc1F'}, {'COc1cc(OC)c(NC(=O)[C@@H]2c3ccccc3C(=O)N(CC(C)C)[C@H]2c2cccs2)cc1Cl'}]"
op025504r,0,[]
op990074z,0,[]
acs.oprd.9b00194,0,[]
op700092n,0,[]
acs.oprd.0c00134,0,[]
acs.oprd.0c00149,0,[]
op050151s,0,[]
op800252w,0,[]
acs.oprd.0c00246,0,[]
acs.oprd.0c00281,0,[]
acs.oprd.1c00188,0,[]
acs.oprd.1c00244,0,[]
op700086d,0,[]
acs.oprd.8b00409,0,[]
acs.oprd.8b00428,0,[]
acs.oprd.2c00097,0,[]
acs.oprd.3c00184,0,[]
op700121y,0,[]
op5001226,8,"[{'CCC(=O)O[C@]1(C(=O)SCC(=O)O)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C'}, {'CCC(=O)O[C@]1(C(=O)O)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C'}, {'C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)O'}, {'CC(=O)[C@@]1(O)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C'}, {'CCC(=O)O[C@]1(C(=O)S)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C'}, {'CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C'}, {'CCC(=O)O[C@@]1(F)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C'}, {'CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C'}, {'CCC(=O)O[C@]1(C(=O)SCC(=O)O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C'}, {'CCC(=O)O[C@]1(C(=O)O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C'}, {'C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)O'}, {'CC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C'}, {'CCC(=O)O[C@]1(C(=O)S)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C'}, {'CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C'}, {'CCC(=O)O[C@@]1(F)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C'}, {'CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C'}]"
acs.oprd.5b00406,0,[]
acs.oprd.6b00066,0,[]
acs.oprd.8b00139,0,[]
acs.oprd.8b00179,0,[]
acs.oprd.6b00011,0,[]
acs.oprd.6b00292,0,[]
acs.oprd.7b00153,1,"[{'C[C@@H]1CCC2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CCC1[C@@]23OO4'}, {'C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4'}]"
op7002198,0,[]
acs.oprd.7b00217,0,[]
acs.oprd.8b00163,0,[]
acs.oprd.7b00332,0,[]
op4002356,0,[]
op3002454,0,[]
op5000489,0,[]
op3002678,0,[]
acs.oprd.2c00047,0,[]
