DOI,Dataset,ReactionKey,Reaction,Locations,Location_Count
acs.oprd.1c00456,OPRD-100,ANGKJOTXVRIEJF-UPDXMIGASA-N>>ZQVSSVMPRDFHAW-VXPBHQCDSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@H]2OC(OCCO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)([C@H](C)C[C@H](C)/C=C/C=C/C=C/1C)[C@@H]2OC>>CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,Scheme 5 AND Scheme 1,1
acs.oprd.1c00456,OPRD-100,AOMOJFWVOHXBTN-UHFFFAOYSA-N.OISVCGZHLKNMSJ-UHFFFAOYSA-N.VOKRBQUJSVSLSQ-UHFFFAOYSA-N>>ITMCEJHCFYSIIV-UHFFFAOYSA-M.RIRUOSRZZAEHBL-UHFFFAOYSA-N,CC(C)(C)[Si](OCCOS(=O)(=O)C(F)(F)F)(c1ccccc1)c1ccccc1.CC(C)(C)[Si](OS(=O)(=O)C(F)(F)F)(c1ccccc1)c1ccccc1.Cc1cccc(C)n1>>Cc1cccc(C)[n+]1CCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C.O=S(=O)([O-])C(F)(F)F,Scheme 2,1
acs.oprd.1c00456,OPRD-100,DHEGPWVYRVBVDA-VBQQEYOXSA-N.DUUWFQBUGWHIMO-UHFFFAOYSA-N.WLLIXJBWWFGEHT-UHFFFAOYSA-N>>ZWXWHAFUIZHJFE-DSMYSAODSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C.CC(C)(C)[Si](C)(C)OCCOS(=O)(=O)C(F)(F)F.CC(C)(C)[Si](C)(C)OS(=O)(=O)C(F)(F)F>>CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO[Si](C)(C)C(C)(C)C)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,Table 1 AND Scheme 1,1
acs.oprd.1c00456,OPRD-100,DHEGPWVYRVBVDA-VBQQEYOXSA-N.UJTZJVNWWZDIJK-UHFFFAOYSA-N>>FQROVMXRCGPRLR-CNAMCHDLSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C.CC(C)[Si](C)(C)OCCOS(=O)(=O)C(F)(F)F>>CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO[Si](C)(C)C(C)C)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,Table 1 AND Scheme 1,1
acs.oprd.1c00456,OPRD-100,DHEGPWVYRVBVDA-VBQQEYOXSA-N.VOKRBQUJSVSLSQ-UHFFFAOYSA-N>>ANGKJOTXVRIEJF-UPDXMIGASA-N.ZQVSSVMPRDFHAW-VXPBHQCDSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C.CC(C)(C)[Si](OCCOS(=O)(=O)C(F)(F)F)(c1ccccc1)c1ccccc1>>CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C.CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@H]2OC(OCCO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)([C@H](C)C[C@H](C)/C=C/C=C/C=C/1C)[C@@H]2OC,Table 4 AND Scheme 2 AND Scheme 5,1
acs.oprd.1c00456,OPRD-100,DHEGPWVYRVBVDA-VBQQEYOXSA-N.VOKRBQUJSVSLSQ-UHFFFAOYSA-N>>ZQVSSVMPRDFHAW-VXPBHQCDSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C.CC(C)(C)[Si](OCCOS(=O)(=O)C(F)(F)F)(c1ccccc1)c1ccccc1>>CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,"Experimental, Table 1 AND Scheme 1",2
acs.oprd.1c00456,OPRD-100,DHEGPWVYRVBVDA-VBQQEYOXSA-N>>YXLUORWWVYEELM-JDHNKMROSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C>>CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,Scheme 1,1
acs.oprd.1c00456,OPRD-100,JGFZNNIVVJXRND-UHFFFAOYSA-N.UJTZJVNWWZDIJK-UHFFFAOYSA-N>>ITMCEJHCFYSIIV-UHFFFAOYSA-M.VIMOCFQJLHPILG-UHFFFAOYSA-N,CC(C)[Si](C)(C)OCCOS(=O)(=O)C(F)(F)F.CCN(C(C)C)C(C)C>>CC[N+](CCO[Si](C)(C)C(C)C)(C(C)C)C(C)C.O=S(=O)([O-])C(F)(F)F,Scheme 2,1
acs.oprd.1c00456,OPRD-100,PDLHOXRFRCWFMB-CIPGPYIUSA-N.VOKRBQUJSVSLSQ-UHFFFAOYSA-N>>DFSGWGWXVQWAOZ-ZXEVHOHPSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C/C=C/C=C/C=C/1C.CC(C)(C)[Si](OCCOS(=O)(=O)C(F)(F)F)(c1ccccc1)c1ccccc1>>CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C/C=C/C=C/C=C/1C,Table 1 AND Scheme 1,1
acs.oprd.1c00456,OPRD-100,ZQVSSVMPRDFHAW-VXPBHQCDSA-N>>DHEGPWVYRVBVDA-VBQQEYOXSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C>>CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,Experimental,1
