DOI,Dataset,InChIKey,SMILES,Locations,Location_Count
acs.oprd.1c00456,OPRD-100,ANGKJOTXVRIEJF-UPDXMIGASA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@H]2OC(OCCO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)([C@H](C)C[C@H](C)/C=C/C=C/C=C/1C)[C@@H]2OC,"Scheme 5 AND Scheme 1, Table 4 AND Scheme 2 AND Scheme 5",2
acs.oprd.1c00456,OPRD-100,AOMOJFWVOHXBTN-UHFFFAOYSA-N,CC(C)(C)[Si](OS(=O)(=O)C(F)(F)F)(c1ccccc1)c1ccccc1,Scheme 2,1
acs.oprd.1c00456,OPRD-100,DFSGWGWXVQWAOZ-ZXEVHOHPSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C/C=C/C=C/C=C/1C,Table 1 AND Scheme 1,1
acs.oprd.1c00456,OPRD-100,DHEGPWVYRVBVDA-VBQQEYOXSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,"Experimental, Scheme 1, Table 1 AND Scheme 1, Table 4 AND Scheme 2 AND Scheme 5",4
acs.oprd.1c00456,OPRD-100,FQROVMXRCGPRLR-CNAMCHDLSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO[Si](C)(C)C(C)C)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,Table 1 AND Scheme 1,1
acs.oprd.1c00456,OPRD-100,PDLHOXRFRCWFMB-CIPGPYIUSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C/C=C/C=C/C=C/1C,Table 1 AND Scheme 1,1
acs.oprd.1c00456,OPRD-100,UJTZJVNWWZDIJK-UHFFFAOYSA-N,CC(C)[Si](C)(C)OCCOS(=O)(=O)C(F)(F)F,"Scheme 2, Table 1 AND Scheme 1",2
acs.oprd.1c00456,OPRD-100,VIMOCFQJLHPILG-UHFFFAOYSA-N,CC[N+](CCO[Si](C)(C)C(C)C)(C(C)C)C(C)C,Scheme 2,1
acs.oprd.1c00456,OPRD-100,WLLIXJBWWFGEHT-UHFFFAOYSA-N,CC(C)(C)[Si](C)(C)OS(=O)(=O)C(F)(F)F,Table 1 AND Scheme 1,1
acs.oprd.1c00456,OPRD-100,YXLUORWWVYEELM-JDHNKMROSA-N,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)C[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,Scheme 1,1
